idx,arquivo,ref_idx,mse_gray_ref,ssim_gray_ref,ssim_color_ref,mse_gray_prev,ssim_gray_prev,lap_var
0,frame_000000.jpg,18,0.035029586404561996,0.25670018123398275,0.25456610321998596,nan,nan,1921.453923136151
1,frame_000001.jpg,18,0.04536500573158264,0.1953759748288924,0.1929098218679428,0.00799095630645752,0.5993511105152172,1716.0560134404677
2,frame_0000012.jpg,18,0.06707096099853516,0.12640887893018324,0.12074891477823257,0.05633246898651123,0.15995568674751423,390.0045502986228
3,frame_000002.jpg,18,0.025387022644281387,0.37275261325671477,0.3707524538040161,0.05368927866220474,0.11008720102557717,1770.1353241219485
4,frame_0000022.jpg,18,0.06515126675367355,0.16843730564925702,0.15903204679489136,0.05228816345334053,0.18495135285978517,464.98693398920767
5,frame_000003.jpg,18,0.03818654268980026,0.2700925256026515,0.2687656581401825,0.06214997172355652,0.1503652171417661,3038.558765432099
6,frame_000004.jpg,18,0.04813976213335991,0.1892947821844753,0.18831026554107666,0.01038105133920908,0.6288682100566049,3013.0339918367345
7,frame_000005.jpg,18,0.02661031484603882,0.36618735823277937,0.3650512397289276,0.024799112230539322,0.37348272880030525,2839.8435149375
8,frame_000006.jpg,18,0.02453232929110527,0.386877115323295,0.3858923614025116,0.00828503631055355,0.6606647733121723,3449.7253757398803
9,frame_000007.jpg,18,0.053046710789203644,0.21742218048140247,0.21625083684921265,0.04345070198178291,0.20161460433941525,4400.536563363945
10,frame_000008.jpg,18,0.05740430951118469,0.15343341572406893,0.15239566564559937,0.022241346538066864,0.4136717526627527,5248.443105946081
11,frame_000009.jpg,18,0.042728058993816376,0.21905354962876383,0.21965672075748444,0.02541307732462883,0.43147837285455254,4555.0077107751285
12,frame_000010.jpg,18,0.022069912403821945,0.4682746214591403,0.46730974316596985,0.044408343732357025,0.07023208143476783,4721.640693589412
13,frame_000011.jpg,18,0.04131731390953064,0.24205186183994964,0.24009041488170624,0.035784993320703506,0.3460760054259255,5104.722499911422
14,frame_000012.jpg,18,0.043709710240364075,0.31930341281511027,0.31714361906051636,0.04036470130085945,0.1688539448492013,5358.072552777777
15,frame_000013.jpg,18,0.04450773447751999,0.22907078982548862,0.22756965458393097,0.013620338402688503,0.5489701191037534,4442.415521052631
16,frame_000014.jpg,18,0.037073664367198944,0.2639386376438976,0.26328587532043457,0.02918422967195511,0.35533297222422056,5251.503626042597
17,frame_000015.jpg,18,0.008974622935056686,0.6949795910693093,0.693802535533905,0.030565064400434494,0.30098420870430354,4786.506559181071
18,frame_000016.jpg,18,0.0,1.0,1.0,0.008974622935056686,0.6949795910693093,5891.46937186098
19,frame_000017.jpg,18,0.04961612820625305,0.10280895166886489,0.10162068158388138,0.04961612820625305,0.10280895166886489,5360.319969964623
20,frame_000018.jpg,18,0.05387956649065018,0.10285303617508844,0.102519690990448,0.01818113401532173,0.46803653220131103,4913.8335477499995
21,frame_000019.jpg,18,0.036724790930747986,0.3038903862705016,0.30255573987960815,0.03513677418231964,0.2980575516660411,4523.6824285147395
