arquivo,texto_bruto,conf_media
frame_000203.jpg,,21.15
frame_000204.jpg,,21.15
frame_000205.jpg,,21.15
frame_000206.jpg,,21.15
frame_000207.jpg,,21.15
frame_000208.jpg,,21.15
frame_000209.jpg,,21.15
frame_000210.jpg,,21.15
frame_000211.jpg,,21.15
frame_000212.jpg,,21.15
frame_000213.jpg,,21.15
frame_000214.jpg,,18.20
frame_000215.jpg,,18.20
frame_000216.jpg,,18.20
frame_000217.jpg,,18.20
frame_000218.jpg,,18.20
frame_000219.jpg,,18.20
frame_000220.jpg,,18.20
frame_000221.jpg,,18.20
frame_000222.jpg,,18.20
frame_000223.jpg,,18.20
frame_000224.jpg,,18.20
frame_000225.jpg,cn,13.00
frame_000226.jpg,Es,14.56
frame_000227.jpg,Ee,14.11
frame_000228.jpg,Ee,14.11
frame_000229.jpg,Ee,14.11
frame_000230.jpg,Ee,14.11
frame_000231.jpg,Ee,14.11
frame_000232.jpg,Ee,14.11
frame_000233.jpg,Ee,14.11
frame_000234.jpg,Ee,14.11
frame_000235.jpg,Ee,14.11
frame_000236.jpg,Ee,14.11
frame_000237.jpg,Ee,14.11
frame_000238.jpg,Ee,14.11
frame_000239.jpg,Ee,14.11
frame_000240.jpg,Ee,14.11
frame_000241.jpg,Ee,14.11
frame_000242.jpg,Ee,14.11
frame_000243.jpg,Ee,14.11
frame_000244.jpg,,18.20
frame_000245.jpg,,18.20
frame_000246.jpg,,18.20
frame_000247.jpg,,18.20
frame_000248.jpg,,18.20
frame_000249.jpg,,18.20
frame_000250.jpg,,18.20
frame_000251.jpg,,18.20
frame_000252.jpg,,18.20
frame_000253.jpg,,18.20
frame_000254.jpg,,18.20
frame_000255.jpg,,18.20
frame_000256.jpg,,18.20
frame_000257.jpg,,18.20
frame_000258.jpg,,18.20
frame_000259.jpg,This guy's been trolling cops since 198B...,50.07
frame_000260.jpg,This guy's been trolling cops since 198B...,50.07
frame_000261.jpg,This guy's been trolling cops since 198B...,50.07
frame_000262.jpg,This guy's been trolling cops since 198B...,50.13
frame_000263.jpg,This guy's been trolling cops since 198B...,50.07
frame_000264.jpg,This guy's been trolling cops since 198B...,50.13
frame_000265.jpg,This guy's been trolling cops since 198B...,50.13
frame_000266.jpg,This guy's been trolling cops since 198B...,50.13
frame_000267.jpg,This guy's been trolling cops since 198B...,50.07
frame_000268.jpg,This guy's been trolling cops since 198B...,50.07
frame_000269.jpg,This guy's been trolling cops since 198B...,50.07
frame_000270.jpg,This guy's been trolling cops since 198B...,50.07
frame_000271.jpg,This guy's been trolling cops since 198B...,50.07
frame_000272.jpg,This guy's been trolling cops since 198B...,50.07
frame_000273.jpg,This guy's been trolling cops since 198B...,50.07
frame_000274.jpg,This guy's been trolling cops since 198B...,50.07
frame_000275.jpg,This guy's been trolling cops since 198B...,50.07
frame_000276.jpg,This guy's been trolling cops since 198B...,50.07
frame_000277.jpg,This guy's been trolling cops since 198B...,50.07
frame_000278.jpg,This guy's been trolling cops since 198B...,50.07
frame_000279.jpg,This guy's been trolling cops since 198B...,50.07
frame_000280.jpg,This guy's been trolling cops since 198B...,50.07
frame_000281.jpg,This guy's been trolling cops since 198B...,50.07
frame_000282.jpg,This guy's been trolling cops since 198B...,50.07
frame_000283.jpg,This guy's been trolling cops since 198B...,50.07
frame_000284.jpg,This guy's been trolling cops since 198B...,50.07
frame_000285.jpg,This guy's been trolling cops since 198B...,50.07
frame_000286.jpg,This guy's been trolling cops since 198B...,50.07
frame_000287.jpg,This guy's been trolling cops since 198B...,50.07
frame_000288.jpg,This guy's been trolling cops since 198B...,50.07
frame_000289.jpg,This guy's been trolling cops since 198B...,50.07
frame_000290.jpg,This guy's been trolling cops since 198B...,50.07
frame_000291.jpg,This guy's been trolling cops since 198B...,50.07
frame_000292.jpg,This guy's been trolling cops since 198B...,50.07
frame_000293.jpg,This guy's been trolling cops since 198B...,50.07
frame_000294.jpg,This guy's been trolling cops since 198B...,50.07
frame_000295.jpg,This guy's been trolling cops since 198B...,50.07
frame_000296.jpg,This guy's been trolling cops since 198B...,50.07
frame_000297.jpg,This guy's been trolling cops since 198B...,50.00
frame_000298.jpg,This guy's been trolling cops since 198B...,50.13
frame_000299.jpg,This guy's been trolling cops since 198B...,50.13
frame_000300.jpg,This guy's been trolling cops since 198B...,50.13
frame_000301.jpg,This guy's been trolling cops since 198B...,50.13
frame_000302.jpg,This guy's been trolling cops since 198B...,50.13
frame_000303.jpg,This guy's been trolling cops since 198B...,50.13
frame_000304.jpg,This guy's been trolling cops since 198B...,50.13
frame_000305.jpg,This guy's been trolling cops since 198B...,50.13
frame_000306.jpg,This guy's been trolling cops since 198B...,50.13
frame_000307.jpg,This guy's been trolling cops since 198B...,50.13
